ID2,L1_animal_TotalCorrect,L1_animal_TotalUtterances,L1_food_TotalCorrect,L1_food_TotalUtterances,L1_S_TotalCorrect,L1_S_TotalUtterances,L1_f_TotalCorrect,L1_f_TotalUtterances,L2_animal_TotalCorrect,L2_animal_TotalUtterances,L2_food_TotalCorrect,L2_food_TotalUtterances,L2_S_TotalCorrect,L2_S_TotalUtterances,L2_f_TotalCorrect,L2_f_TotalUtterances,L3_animal_TotalCorrect,L3_animal_TotalUtterances,L3_food_TotalCorrect,L3_food_TotalUtterances,L3_S_TotalCorrect,L3_S_TotalUtterances,L3_f_TotalCorrect,L3_f_TotalUtterances,L1_sem_TC,L1_sem_TU,L1_pho_TC,L1_pho_TU,L2_sem_TC,L2_sem_TU,L2_pho_TC,L2_pho_TU,L3_sem_TC,L3_sem_TU,L3_pho_TC,L3_pho_TU,L1_all_TC,L1_all_TU,L2_all_TC,L2_all_TU,L3_all_TC,L3_all_TU
10588,34,37,28,30,22,25,11,14,29,33,33,37,34,34,16,22, , , , , , , , ,31,33.5,16.5,19.5,31,35,25,28,NA,NA,NA,NA,23.75,26.5,28,31.5,NA,NA
16800,12,12,16,16,7,9,10,13,18,22,17,20,22,25,10,15,17,20,20,22,9,13,7,13,14,14,8.5,11,17.5,21,16,20,18.5,21,8,13,11.25,12.5,16.75,20.5,26.5,34
17555,17,19,27,29,19,21,18,21,15,17,28,29,12,17,16,18,21,25,27,30,13,15,19,20,22,24,18.5,21,21.5,23,14,17.5,24,27.5,16,17.5,20.25,22.5,17.75,20.25,40,45
17910,19,22,20,22,7,10,11,17,22,26,22,24,14,21,10,21,23,27,25,30,16,21,13,20,19.5,22,9,13.5,22,25,12,21,24,28.5,14.5,20.5,14.25,17.75,17,23,38.5,49
18709,25,32,31,34,9,13,4,8,20,24,23,24,7,8,11,12,21,24,18,23,6,10,5,7,28,33,6.5,10.5,21.5,24,9,10,19.5,23.5,5.5,8.5,17.25,21.75,15.25,17,25,32
22162,12,15,14,16,9,11,8,9,13,16,16,17,13,15,9,10,14,18,12,15,14,17,11,13,13,15.5,8.5,10,14.5,16.5,11,12.5,13,16.5,12.5,15,10.75,12.75,12.75,14.5,25.5,31.5
25082,15,17,13,14,10,12,7,11,14,16,14,17,18,19,9,12,14,17,18,21,21,25,14,17,14,15.5,8.5,11.5,14,16.5,13.5,15.5,16,19,17.5,21,11.25,13.5,13.75,16,33.5,40
30025,19,22,10,14,12,16,12,18,17,21,15,17,12,13,6,8,17,19,21,23,9,9,15,17,14.5,18,12,17,16,19,9,10.5,19,21,12,13,13.25,17.5,12.5,14.75,31,34
30041,14,19,17,19,7,9,4,10,19,21,12,15,5,10,6,9,16,18,14,16,12,14,9,11,15.5,19,5.5,9.5,15.5,18,5.5,9.5,15,17,10.5,12.5,10.5,14.25,10.5,13.75,25.5,29.5
30905,12,15,19,21,15,15,14,17,17,21,25,26,17,17,13,14,22,25,38,41,13,15,14,23,15.5,18,14.5,16,21,23.5,15,15.5,30,33,13.5,19,15,17,18,19.5,43.5,52
34283,19,23,19,22,11,14,9,16,16,19,18,20,16,19,9,11,25,28,29,31,16,18,10,12,19,22.5,10,15,17,19.5,12.5,15,27,29.5,13,15,14.5,18.75,14.75,17.25,40,44.5
34371,13,18,14,19,8,12,10,11,18,22,20,24,9,13,10,13,27,30,24,30,16,20,10,13,13.5,18.5,9,11.5,19,23,9.5,13,25.5,30,13,16.5,11.25,15,14.25,18,38.5,46.5
34598,15,18,11,14,4,9,4,6,12,15,15,16,6,12,8,10,17,20,13,16,7,10,6,12,13,16,4,7.5,13.5,15.5,7,11,15,18,6.5,11,8.5,11.75,10.25,13.25,21.5,29
35409,17,21,16,20,8,14,6,9,19,24,15,18,11,13,10,12,21,25,24,28,16,18,11,16,16.5,20.5,7,11.5,17,21,10.5,12.5,22.5,26.5,13.5,17,11.75,16,13.75,16.75,36,43.5
